Game,Calss,Type_Weapon,Name,Damage,Use Time,Critic Chance,Fire Rate,DPS
Terraria,Melee,Sword,Meowmere,200,14,0.04,4.285714286,857.1428571
Terraria,Melee,Weapon,Psycho Knife,85,8,0.04,7.5,637.5
Terraria,Melee,Weapon,Daybreak,150,16,0.04,3.75,562.5
Terraria,Melee,Yoyo,Terrarian,190,25,0.14,2.4,456
Terraria,Melee,Sword,Fetid Baghnakhs,60,8,0.04,7.5,450
Terraria,Melee,Sword,Flying Dragon,180,25,0.04,2.4,432
Terraria,Melee,Sword,Zenith,190,30,0.14,2,380
Terraria,Melee,Boomerang,Paladins Hammer,90,15,0.04,4,360
Terraria,Melee,Boomerang,Possessed Hatchet,80,14,0.04,4.285714286,342.8571429
Terraria,Melee,Weapon,First Fractal,190,35,0.14,1.714285714,325.7142857
Terraria,Melee,Sword,Keybrand,105,20,0.2,3,315
Terraria,Melee,Weapon,Solar Eruption,105,20,0.04,3,315
Terraria,Melee,Sword,Influx Waver,100,20,0.04,3,300
Terraria,Melee,Sword,Terra Blade,85,18,0.04,3.333333333,283.3333333
Terraria,Melee,Weapon,Sky Dragons Fury,140,30,0.04,2,280
Terraria,Melee,Yoyo,The Eye of Cthulhu,115,25,0.04,2.4,276
Terraria,Melee,Weapon,Shadow Jousting Lance,108,24,0.04,2.5,270
Terraria,Melee,Weapon,Starlight,80,18,0.14,3.333333333,266.6666667
Terraria,Melee,Boomerang,Light Disc,60,14,0.04,4.285714286,257.1428571
Terraria,Melee,Sword,Brand of the Inferno,85,20,0.04,3,255
Terraria,Melee,Flail,Chain Guillotines,59,14,0.04,4.285714286,252.8571429
Terraria,Melee,Boomerang,Bananarang,45,11,0.04,5.454545455,245.4545455
Terraria,Melee,Sword,True Excalibur,72,18,0.04,3.333333333,240
Terraria,Melee,Yoyo,Kraken,95,25,0.14,2.4,228
Terraria,Melee,Flail,Golem Fist,90,24,0.04,2.5,225
Terraria,Melee,Sword,Christmas Tree Sword,86,23,0.04,2.608695652,224.3478261
Terraria,Melee,Sword,Chlorophyte Claymore,95,26,0.04,2.307692308,219.2307692
Terraria,Melee,Sword,Excalibur,72,20,0.04,3,216
Terraria,Melee,Sword,Chlorophyte Saber,57,16,0.04,3.75,213.75
Terraria,Melee,Flail,Anchor,70,20,0.04,3,210
Terraria,Melee,Spear,Obsidian Swordfish,70,20,0.24,3,210
Terraria,Melee,Weapon,Scourge of the Corruptor,70,20,0.04,3,210
Terraria,Melee,Sword,Cutlass,53,16,0.04,3.75,198.75
Terraria,Melee,Flail,Flairon,66,20,0.04,3,198
Terraria,Melee,Flail,Flower Pow,130,40,0.04,1.5,195
Terraria,Melee,Weapon,Hallowed Jousting Lance,78,24,0.04,2.5,195
Terraria,Melee,Weapon,Shadowflame Knife,38,12,0.07,5,190
Terraria,Melee,Spear,North Pole,73,25,0.04,2.4,175.2
Terraria,Melee,Sword,Adamantite Sword,61,21,0.04,2.857142857,174.2857143
Terraria,Melee,Sword,The Horsemans Blade,75,26,0.04,2.307692308,173.0769231
Terraria,Melee,Sword,Ham Bat,57,20,0.04,3,171
Terraria,Melee,Yoyo,Reds Throw,70,25,0.04,2.4,168
Terraria,Melee,Yoyo,Valkyrie Yoyo,70,25,0.04,2.4,168
Terraria,Melee,Flail,Drippler Crippler,110,40,0.04,1.5,165
Terraria,Melee,Sword,Slap Hand,55,20,0.19,3,165
Terraria,Melee,Boomerang,Flying Knife,40,15,0.04,4,160
Terraria,Melee,Sword,Beam Sword,52,20,0.04,3,156
Terraria,Melee,Yoyo,Yelets,60,25,0.04,2.4,144
Terraria,Melee,Weapon,Jousting Lance,56,24,0.04,2.5,140
Terraria,Melee,Sword,Titanium Sword,58,25,0.04,2.4,139.2
Terraria,Melee,Sword,Death Sickle,57,25,0.04,2.4,136.8
Terraria,Melee,Boomerang,Sergeant United Shield,80,36,0.04,1.666666667,133.3333333
Terraria,Melee,Flail,Dao of Pow,100,45,0.04,1.333333333,133.3333333
Terraria,Melee,Sword,Tizona,55,25,0.04,2.4,132
Terraria,Melee,Sword,True Nights Edge,70,32,0.04,1.875,131.25
Terraria,Melee,Sword,Seedler,50,23,0.04,2.608695652,130.4347826
Terraria,Melee,Weapon,Waffles Iron,50,23,0.04,2.608695652,130.4347826
Terraria,Melee,Yoyo,Code 2,54,25,0.04,2.4,129.6
Terraria,Melee,Boomerang,Flamarang,32,15,0.04,4,128
Terraria,Melee,Spear,Chlorophyte Partisan,49,23,0.04,2.608695652,127.826087
Terraria,Melee,Sword,Frostbrand,49,23,0.04,2.608695652,127.826087
Terraria,Melee,Sword,Blue Phasesaber,42,20,0.04,3,126
Terraria,Melee,Sword,Green Phasesaber,42,20,0.04,3,126
Terraria,Melee,Sword,Orange Phasesaber,42,20,0.04,3,126
Terraria,Melee,Sword,Purple Phasesaber,42,20,0.04,3,126
Terraria,Melee,Sword,Red Phasesaber,42,20,0.04,3,126
Terraria,Melee,Sword,White Phasesaber,42,20,0.04,3,126
Terraria,Melee,Sword,Yellow Phasesaber,42,20,0.04,3,126
Terraria,Melee,Yoyo,Format:C,51,25,0.04,2.4,122.4
Terraria,Melee,Sword,Ice Sickle,50,25,0.04,2.4,120
Terraria,Melee,Sword,Nights Edge,42,21,0.04,2.857142857,120
Terraria,Melee,Sword,Orichalcum Sword,50,25,0.04,2.4,120
Terraria,Melee,Sword,Bladetongue,55,28,0.04,2.142857143,117.8571429
Terraria,Melee,Yoyo,Gradient,49,25,0.04,2.4,117.6
Terraria,Melee,Spear,Gungnir,42,22,0.04,2.727272727,114.5454545
Terraria,Melee,Sword,Mythril Sword,49,26,0.04,2.307692308,113.0769231
Terraria,Melee,Weapon,Vampire Knives,29,16,0.04,3.75,108.75
Terraria,Melee,Sword,Palladium Sword,45,25,0.04,2.4,108
Terraria,Melee,Spear,Titanium Trident,40,23,0.04,2.608695652,104.3478261
Terraria,Melee,Yoyo,Amarok,43,25,0.04,2.4,103.2
Terraria,Melee,Sword,Cobalt Sword,39,23,0.04,2.608695652,101.7391304
Terraria,Melee,Boomerang,Combat Wrench,25,15,0.04,4,100
Terraria,Melee,Spear,Ghastly Glaive,45,27,0.04,2.222222222,100
Terraria,Melee,Weapon,Sleepy Octopod,50,30,0.04,2,100
Terraria,Melee,Boomerang,Thorn Chakram,25,15,0.04,4,100
