Game,Calss,Type_Weapon,Name,Damage,Use Time,Critic Chance,Fire Rate,DPS,Difficulty,Event,Name Boss,Life,Average Defense,Damage Reduction,Average Damage,No_Hits,Number_Hits_FLOAT,Number_Hits_INT,Columna1
Terraria,Melee,Spear,Spear,8,31,0.04,1.935483871,15.48387097,Master,Boss,The Destroyer,153000,30,15,192.5,1,153000,153000,
Terraria,Melee,Sword,Copper Broadsword,9,21,0.04,2.857142857,25.71428571,Master,Boss,Empress of Light,124950,50,25,193.83,1,124950,124950,
Terraria,Melee,Spear,Storm Spear,12,28,0.04,2.142857143,25.71428571,Master,Boss,Empress of Light,124950,50,25,193.83,1,124950,124950,
Terraria,Melee,Sword,Palm Wood Sword,8,19,0.04,3.157894737,25.26315789,Master,Boss,Empress of Light,124950,50,25,193.83,1,124950,124950,
Terraria,Melee,Sword,Rich Mahogany Sword,8,19,0.04,3.157894737,25.26315789,Master,Boss,Empress of Light,124950,50,25,193.83,1,124950,124950,
Terraria,Melee,Sword,Boreal Wood Sword,8,20,0.04,3,24,Master,Boss,Empress of Light,124950,50,25,193.83,1,124950,124950,
Terraria,Melee,Flail,Flaming Mace,18,45,0.04,1.333333333,24,Master,Boss,Empress of Light,124950,50,25,193.83,1,124950,124950,
Terraria,Melee,Flail,Mace,18,45,0.04,1.333333333,24,Master,Boss,Empress of Light,124950,50,25,193.83,1,124950,124950,
Terraria,Melee,Sword,Copper Shortsword,5,13,0.04,4.615384615,23.07692308,Master,Boss,Empress of Light,124950,50,25,193.83,1,124950,124950,
Terraria,Melee,Tool,Sickle,9,24,0.04,2.5,22.5,Master,Boss,Empress of Light,124950,50,25,193.83,1,124950,124950,
Terraria,Melee,Sword,Breathing Reed,10,27,0.04,2.222222222,22.22222222,Master,Boss,Empress of Light,124950,50,25,193.83,1,124950,124950,
Terraria,Melee,Yoyo,Wooden Yoyo,9,25,0.04,2.4,21.6,Master,Boss,Empress of Light,124950,50,25,193.83,1,124950,124950,
Terraria,Melee,Sword,Wooden Sword,7,20,0.04,3,21,Master,Boss,Empress of Light,124950,50,25,193.83,1,124950,124950,
Terraria,Melee,Sword,Cactus Sword,10,30,0.04,2,20,Master,Boss,Empress of Light,124950,50,25,193.83,1,124950,124950,
Terraria,Melee,Tool,Staff of Regrowth,7,25,0.04,2.4,16.8,Master,Boss,Empress of Light,124950,50,25,193.83,1,124950,124950,
Terraria,Melee,Spear,Spear,8,31,0.04,1.935483871,15.48387097,Master,Boss,Empress of Light,124950,50,25,193.83,1,124950,124950,
Terraria,Melee,Spear,Spear,8,31,0.04,1.935483871,15.48387097,Expert,Boss,The Destroyer,120000,30,15,128.25,1,120000,120000,
Terraria,Melee,Weapon,Chain Knife,12,20,0.04,3,36,Master,Boss,Duke Fishron - First Form,99000,75,37.5,251.25,1,99000,99000,
Terraria,Melee,Sword,Iron Broadsword,12,20,0.04,3,36,Master,Boss,Duke Fishron - First Form,99000,75,37.5,251.25,1,99000,99000,
Terraria,Melee,Sword,Ruler,12,20,0.04,3,36,Master,Boss,Duke Fishron - First Form,99000,75,37.5,251.25,1,99000,99000,
Terraria,Melee,Sword,Candy Cane Sword,16,27,0.04,2.222222222,35.55555556,Master,Boss,Duke Fishron - First Form,99000,75,37.5,251.25,1,99000,99000,
Terraria,Melee,Sword,Tin Shortsword,7,12,0.04,5,35,Master,Boss,Duke Fishron - First Form,99000,75,37.5,251.25,1,99000,99000,
Terraria,Melee,Sword,Ebonwood Sword,11,19,0.04,3.157894737,34.73684211,Master,Boss,Duke Fishron - First Form,99000,75,37.5,251.25,1,99000,99000,
